Material,Batch,SLED/BBD,Total Stock,Storage Type,Storage Bin
1000903.0,0002096657,2026-01-16,1386.0,DRY,2006044C
1001260.0,0002123464,2027-01-05,150.0,DRY,2006044B
1001260.0,0002123464,2027-01-05,2000.0,DRY,2006052A
1002488.0,1002423606,2026-08-13,2905.0,DRY,2004008A
1002488.0,1002423607,2026-08-13,2905.0,DRY,2004048A
1002488.0,1002423607,2026-08-13,2905.0,DRY,2006028A
1002488.0,1002423608,2026-08-13,2905.0,DRY,2004008A
1002488.0,1002423608,2026-08-13,2905.0,DRY,2006020A
1002488.0,1002423608,2026-08-13,2905.0,DRY,2006020A
1002488.0,1002423608,2026-08-13,2904.0,DRY,2006028A
1002488.0,1002423608,2026-08-13,2905.0,DRY,2006028A
1002488.0,1002423608,2026-08-13,2904.0,DRY,2006036A
1002488.0,1002423620,2026-08-13,2905.0,DRY,2004008A
1002488.0,1002423620,2026-08-13,2905.0,DRY,2004016A
1002488.0,1002423620,2026-08-13,2905.0,DRY,2004044A
1002488.0,1002423622,2026-08-13,2905.0,DRY,2006036A
1002488.0,1002423623,2026-08-13,2905.0,DRY,2006032A
1002488.0,1002424000,2026-08-17,2905.0,DRY,2004012A
1002488.0,1002424000,2026-08-17,2905.0,DRY,2004020A
1002488.0,1002424000,2026-08-17,2905.0,DRY,2006032A
1002488.0,1002424002,2026-08-17,2905.0,DRY,2004012A
1002488.0,1002424002,2026-08-17,2905.0,DRY,2006008A
1002488.0,1002424002,2026-08-17,2905.0,DRY,2006016A
1002488.0,1002424002,2026-08-17,2905.0,DRY,2006036A
1002488.0,1002424714,2026-08-24,2905.0,DRY,2006020A
1002488.0,1002424805,2026-08-25,2905.0,DRY,2006008A
1003527.0,0002146364,2025-12-14,1260.0,DRY,2006019D
1003551.0,0002122792,2025-10-14,1033.75,FRY,1330065D
1003596.0,0002106922,2025-11-18,345.0,FNG,0521054A
1003596.0,0002106922,2025-11-18,700.0,FNG,0521054A
1003596.0,0002106922,2025-11-18,700.0,FNG,0521067A
1003596.0,0002106922,2025-11-18,700.0,FNG,0521067A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523034A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523034A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523038A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523040A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523040A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523040A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523040A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523047A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002106922,2025-11-18,700.0,FNG,0523055A
1003596.0,0002131098,2026-02-02,700.0,FNG,0523002A
1003596.0,0002131098,2026-02-02,595.0,FNG,0523002A
1003596.0,0002131098,2026-02-02,700.0,FNG,0523002A
1003596.0,0002131098,2026-02-02,700.0,FNG,0523002A
1003596.0,0002131098,2026-02-02,700.0,FNG,0523002A
1003596.0,0002131098,2026-02-02,700.0,FNG,0523002A
1003596.0,0002132430,2026-02-03,700.0,FNG,0521019A
1003596.0,0002132430,2026-02-03,700.0,FNG,0521026A
1003596.0,0002132430,2026-02-03,595.0,FNG,0521026A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523016A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523016A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523016A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523016A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523046A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523046A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523046A
1003596.0,0002132430,2026-02-03,700.0,FNG,0523046A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523008A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523008A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523018A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523034A
1003597.0,0002128784,2026-01-26,210.0,FNG,0523034A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523039A
1003597.0,0002128784,2026-01-26,700.0,FNG,0523039A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523008A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523008A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523020A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523020A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523034A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523034A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523034A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523039A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523039A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523039A
1003597.0,0002131099,2026-02-02,140.0,FNG,0523039A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523049A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523049A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523050A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523050A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523050A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523050A
1003597.0,0002131099,2026-02-02,700.0,FNG,0523050A
